sehir,grup,kosuCinsi,mesafe,pist,siklet,yas,handikap,jokey,tam_salise
Ankara,3_ve_Yukari_Ingilizler,Handikap_16_H1,1400,Kum,63,6ydg,74,MehmetAKYAVUZ,8851
Ankara,3_Yasli_Ingilizler,KV_7,2100,Kum,58,3yde,81,HalisKARATAS,13761
Ankara,3_Yasli_Araplar,Handikap_14_Disi_H2,1300,Cim,57,3yad,48,VedatABIS,8554
Ankara,4_ve_Yukari_Araplar,Handikap_21_H1,2000,Kum,59.5,5yka,89,MuhammetOZDEMIR,14410
Ankara,3_Yasli_Ingilizler,Handikap_15_H1,1600,Cim,57.5,3yde,49,HalisKARATAS,9573
Ankara,3_ve_Yukari_Ingilizler,KV_8,1400,Cim,58,4yda,90,HalisKARATAS,8174
Ankara,3_Yasli_Araplar,SATIS_3,1400,Cim,57,3yke,37,UgurTEMUR,9370
Izmir,3_ve_Yukari_Ingilizler,Handikap_14_H2,1200,Cim,55.5,4yda,35,AlaattinKURUNDUK,7157
Izmir,2_Yasli_Ingilizler,KV_7,1300,Cim,53,2yde,50,NevzatAVCI,7961
Izmir,3_Yasli_Ingilizler,SARTLI_3,1200,Cim,61,3yde,40,BekirMertMIRIK,7206
Izmir,3_Yasli_Araplar,Maiden,1200,Kum,57,3yde,30,HuseyinSIMSEK,8463
Izmir,3_ve_Yukari_Ingilizler,KV_6,1900,Cim,60,4yaa,76,KadirTOKACOGLU,11641
Izmir,4_Yasli_Araplar,SARTLI_3,1300,Cim,58,4yaa,40,AdemSEN,8649
Izmir,3_Yasli_Ingilizler,Handikap_15_H2,2000,Kum,52,3ydd,35,MuhammedMirBILGIN,13232
Bursa,3_ve_Yukari_Ingilizler,SARTLI_4,1300,Kum,56,4yda,46,MahsunDEMIRBAS,8071
Bursa,4_Yasli_Araplar,KV_6,1300,Cim,56,4yka,80,MahsunDEMIRBAS,8421
Bursa,3_ve_Yukari_Ingilizler,Handikap_14_H2,1700,Cim,63,5yaa,50,AhmetCELIK,10451
Bursa,3_Yasli_Araplar,A_3,1200,Cim,55,3ydd,71,ErcanCANKAYA,7819
Bursa,3_Yasli_Ingilizler,SARTLI_5,2000,Cim,56,3ydd,55,OnurOZTURK,12427
Bursa,4_ve_Yukari_Araplar,Handikap_17_H2,1400,Kum,50,5yka,51,OnurYILDIZ,9623
Bursa,4_Yasli_Araplar,Handikap_14_H2,1800,Cim,55,4yka,36,OnurYILDIZ,12069
Istanbul,3_Yasli_Ingilizler,Handikap_16_H1,2200,Sentetik,52,3yde,52,AdemASLAN,14298
Istanbul,3_Yasli_Araplar,SARTLI_5,1300,Sentetik,57,3yde,59,MertGokalpARSLAN,8850
Istanbul,3_ve_Yukari_Ingilizler,Handikap_15_H1,1400,Cim,56,4ydg,48,GokhanKOCAKAYA,8399
Istanbul,3_Yasli_Ingilizler,KV_8,1500,Sentetik,58,3yae,77,MucahitBAYIR,9134
Istanbul,4_ve_Yukari_Araplar,KV_6,1600,Cim,58,7yaa,111,SadettinBOYRAZ,10476
