KosuCinsi,grup,mesafePist,jokey,kilo,tam_salise
Hnd 15,3i,2000 Kum (Sen),ECankaya,56,12714
Hnd 14_D,3i,2100 Kum (Sen),ECankaya,59.5,13754
G 2_D,3i,1900 Cim,AAslan,58,11758
G 1_D,3i,2100 Cim,DKaya,58,13414
KV_7_D,3i,2100 Cim (34),DKaya,55,13150
KV_8_D,3i,2100 Cim (36),DKaya,58,13236
KV_9_D,3i,1600 Cim,DKaya,58,9726
Hnd 16,3i,1400 Kum (Sen),BCigla,53.5,8635
Maiden_D,3i,1400 Kum (Sen),DKaya,56,8575
Maiden_D,3i,2000 Kum (Sen),BSav,58,12946
Maiden,3i,1400 Kum (Sen),DKaya,54.1,8594
Maiden_D,3i,1300 Kum (Sen),AKursun,58,7999
Hnd 14_D,3i,1300 Kum (Sen),DKaya,53.5,7928
Hnd 14,3i,1200 Kum (Sen),DKaya,54,7294
Maiden,2i,1300 Kum (Sen),DKaya,53.7,7928
Maiden,2i,1500 Kum (Sen),MCicek,56,9361
KV_6_D,2i,1300 Kum (Sen),HCizik,56,7977
Maiden_D,2i,1400 Kum (Sen),DKaya,55.1,8673
SARTLI 4_D,2i,1200 Kum (Sen),DKaya,53,7358
SARTLI 3,2i,1400 Kum (Sen),DKaya,53,8693
Maiden_D,2i,1200 Kum (Sen),DKaya,55,7613
Maiden_D,2i,1100 Cim,DKaya,55,6878
Maiden,2i,1000 Kum (Sen),DKaya,53.5,6264
Maiden,2i,1000 Cim,AKacmaz,55,6033
Maiden,2i,1000 Cim,AKacmaz,55,5990
SARTLI 4_D,4a,2200 Cim,KDemirel,59.0,15702
Hnd 16_D,4_a,2100 Cim,ECankaya,58.5,14503
Hnd 15_D,4a,2200 Cim,KDemirel,58.0,15215
SARTLI 5_D,4a,1400 Kum,MusCelik,56.0,10000
Hnd 15_D,4_a,1300 Kum,VAbis,56.0,9227
Hnd 15_D,4_a,1600 Cim (35),MGArslan,57.5,10911
Hnd 15_D,4a,1300 Kum,OYildirim,55,9184
SARTLI 4_D,4a,1300 Cim (37),MusCelik,54,8619
SARTLI 3_D,4a,1400 Kum,MGArslan,55,9916
SARTLI 5_D,3a,1200 Cim,GKocakaya,55,8075
SARTLI 1,3a,1000 Cim,OYildirim,55,6513
Hnd 16,4a,1600 Cim,GKocakaya,61.5,10879
Hnd 16,4a,1300 Cim,MKayis,58,8502
Hnd 15_D,4a,1600 Cim,ECankaya,56,10584
Hnd 16,4_a,1300 Cim,FYuksel,55.5,8473
Hnd 16_D,4a,1200 Cim,MTuran,59.5,7824
Hnd 15,4_a,1200 Cim,MTuran,60,7816
SARTLI 5_D,4a,1200 Cim,MTuran,58,7868
SATIS 3,4a,1600 Cim,ASozen,56,10827
Hnd 15,4a,1400 Kum,MKayis,58,9982
Hnd 15_D,4a,1400 Kum,MKaya,58,9910
Hnd 15_D,4_a,1400 Kum,YEYuksel,54.5,10026
SARTLI 4_D,4_a,1600 Kum,YEYuksel,58,11492
SARTLI 4_D,4a,1400 Kum (Isl),MTuran,58,9980
Hnd 15,4a,1800 Kum (Isl),MTuran,60.5,13534
Hnd 15,4a,1400 Kum,BMMirik,55.2,9796
Hnd 14_D,4a,1500 Kum (Sen),GokhGokçe,60,10551
Hnd 14,4a,1400 Kum,MTuran,58.2,9893
Hnd 15_D,4_a,2100 Kum (Sen),MGArslan,55.4,15572
Hnd 15_D,4a,1500 Kum (Isl),OYildiz,52.5,10522
Hnd 13,4a,1400 Kum,HCizik,58.5,10038
SATIS 3,3a,1500 Kum (Sen),OYildiz,55,10337
Hnd 14_D,3a,1200 Kum,OYildiz,55,8510
SARTLI 4_D,3a,1400 Kum (Sen),MHamedi,57,9729
SARTLI 4,3a,1200 Kum (Sen),FArslan,53,8175
SATIS 2,3a,1200 Kum (Sen),ECankaya,56.2,8326
SARTLI 4,3a,1400 Cim (41),AAslan,55,10001
KV-7_D,3a,1400 Cim,MHamedi,54,9577
SARTLI 5,3a,1400 Kum (Sen),MHamedi,53,9640
G 3_D,3a,1200 Cim,SErkus,57,8058
SARTLI 4,3a,1300 Cim,ESincan,55,8712
SARTLI 3,3a,1200 Cim,BKilinç,58,8011
SARTLI 3,3a,1200 Kum,NBaydan,57,9013
SARTLI 3,3a,1100 Cim,BKilinç,58,7351
Maiden,3a,1100 Cim,SErkus,55,7360
SARTLI 1,3a,1100 Kum,MBaydan,57,7831
